Column1;user_id;business_id;stars
1;bv2nCi5Qv5vroFiqKGopiw;AEx2SYEUJmTxVVB18LlCwA;5
2;bv2nCi5Qv5vroFiqKGopiw;VR6GpWIda3SfvPC-lg9H3w;5
3;bv2nCi5Qv5vroFiqKGopiw;CKC0-MOWMqoeWf6s-szl8g;5
4;bv2nCi5Qv5vroFiqKGopiw;ACFtxLv8pGrrxMm6EgjreA;4
5;bv2nCi5Qv5vroFiqKGopiw;s2I_Ni76bjJNK9yG60iD-Q;4
6;_4iMDXbXZ1p1ONG297YEAQ;8QWPlVQ6D-OExqXoaD2Z1g;5
7;u0LXt3Uea_GidxRW1xcsfg;9_CGhHMz8698M9-PkVf0CQ;4
8;u0LXt3Uea_GidxRW1xcsfg;gkCorLgPyQLsptTHalL61g;4
9;u0LXt3Uea_GidxRW1xcsfg;5r6-G9C4YLbC7Ziz57l3rQ;3
10;u0LXt3Uea_GidxRW1xcsfg;fDF_o2JPU8BR1Gya--jRIA;5
11;u0LXt3Uea_GidxRW1xcsfg;z8oIoCT1cXz7gZP5GeU5OA;4
12;u0LXt3Uea_GidxRW1xcsfg;XWTPNfskXoUL-Lf32wSk0Q;3
13;u0LXt3Uea_GidxRW1xcsfg;13nKUHH-uEUXVZylgxchPA;1
14;u0LXt3Uea_GidxRW1xcsfg;RtUvSWO_UZ8V3Wpj0n077w;3
15;u0LXt3Uea_GidxRW1xcsfg;Aov96CM4FZAXeZvKtsStdA;5
16;u0LXt3Uea_GidxRW1xcsfg;0W4lkclzZThpx3V65bVgig;4
17;u0LXt3Uea_GidxRW1xcsfg;fdnNZMk1NP7ZhL-YMidMpw;1
18;u0LXt3Uea_GidxRW1xcsfg;PFPUMF38-lraKzLcTiz5gQ;3
19;u0LXt3Uea_GidxRW1xcsfg;oWTn2IzrprsRkPfULtjZtQ;3
20;u0LXt3Uea_GidxRW1xcsfg;zgQHtqX0gqMw1nlBZl2VnQ;1
21;u0LXt3Uea_GidxRW1xcsfg;28adZ4lsuUeVB2aWzohK9g;3
22;u0LXt3Uea_GidxRW1xcsfg;RWGI8u00x5GghYCEzpYrIg;4
23;u0LXt3Uea_GidxRW1xcsfg;Xy74meQwdTnloAAyRC-4cg;3
24;u0LXt3Uea_GidxRW1xcsfg;hjk3ox7w1akbEuOgTJ03Bw;1
25;u0LXt3Uea_GidxRW1xcsfg;ZnxudK5ExgpfXs4bicS4IA;3
26;u0LXt3Uea_GidxRW1xcsfg;Eox_Qq74oaFZ-YjthpHhBw;3
27;u0LXt3Uea_GidxRW1xcsfg;zxJlg4XCHNoFy78WZPv89w;2
28;u0LXt3Uea_GidxRW1xcsfg;tOhRQqiupLyJdBJVQMGOEQ;5
29;u0LXt3Uea_GidxRW1xcsfg;N93EYZy9R0sdlEvubu94ig;3
30;u0LXt3Uea_GidxRW1xcsfg;AIUFSIIdCEi3XoRJaxtDLQ;4
